pais,categoria,empresa,marcas,lineas_negocio,direccion,ciudad,provincia,telefono,web
Ecuador,Concesionario,CENTRAL MOTORS S.A.,,"IMPORTADORA, COMERCIALIZADORA, VENTA DE REPUESTOS Y TALLERES MARCA TATA Y DAEWOO TRUCKS",10 de agosto N56-44 y Nicolás Urquiola,Quito,Pichincha,2405503/ 2402287/ 2406097/ 2405503,www.centralmotors.com.ec
Ecuador,Concesionario,COMERCIAL CARLOS ROLDAN CIA. LTDA.,Jac,Importación y comercialización de vehiculos marca JAC,Avda. España 8-99 y Sevilla,Cuenca,Azuay,072-807317 / 072-860953,www.jacecuador.com
Ecuador,Concesionario,COMERCIAL HIDROBO S.A. HIDROCOM,,"Comercialización de Vehículos, repuestos, servicio de talleres (mantenimiento, enderezada y pintura)",Matriz: Avda. Mariano Acosta 20-120 y Lucio Tarquino Paez.,Ibarra,Imbabura,062631333/633/621/279/599/376,www.comhidrobo.com
Ecuador,Concesionario,"CORPORACIÓN MARESA (Manufacturas, Armadurías y Repuestos Ecuatorianos S.A.)",Mazda,Ensamblaje de vehículos marca Mazda.,"Oficinas corporativas: Av. Granados E11-67 y Las Hiedras, Edificio Corporación Maresa",Quito,Pichincha,3999500 (oficinas corporativas),www.corpmaresa.com.ec
Ecuador,Concesionario,ECUA - AUTO S.A.,,"Concesionario General Motors, venta de vehiculos nuevos y usados, repuestos, talleres",MATRIZ: Río Coca E8-73 y París - Quito,Quito,Pichincha,02-2272534 / 02-22628886 / 02-2262886,www.ecuaauto.com
Ecuador,Concesionario,ECUA - WAGEN S.A.,Volkswagen,"VENTA VEHICULOS SEMINUEVOS , REPUESTOS Y TALLERES VOLKSWAGEN",MATRIZ: AV.GRANADOS E12-20 Y COLIMES - Quito,Quito,Pichincha,2447410,www.ecua-wagen.com
Ecuador,Concesionario,EUROVEHICULOS S.A.,,DISTRIBUIDOR DE SKODA AUTO,MATRIZ: CARLOS JULIO AROSEMENA KM. 2.5 VIA DAULE,Guayaquil,Guayas,04 6005220,www.skoda.ec
Ecuador,Concesionario,FISUM S.A,Volkswagen,"Fabrica, Importa, Comercializa Vehículos Volkswagen Livianos y Camiones Volkswagen Man, repuestos y talleres marca",Av. Remigio Tamariz 1-62 y Av. Solano,Cuenca,Azuay,74078186,
Ecuador,Concesionario,FOTON DEL ECUADOR S.C.C.,Foton,"Importa y comercializa vehiculos camionetaas, todoterrero, camiones , buses FOTON, repuestos y accesorios FOTON y talleres de servicio.",Av. 10 de Agosto N 52-51 y Capitan Ramon Borja,Quito,Pichincha,3500136 / 2411929,
Ecuador,Concesionario,GERMAN MOTORS S. A.,Audi,Importación y comercialización de vehículos marca AUDI,MATRIZ: Avda. de los Granados E12-20 y Colimes,Quito,Pichincha,02-2264380,www.audi.com.ec
